,TC001,TC002,TC003,TC004,TC005,TC006,TC007,TC008,TC009,TC010
,34365,39713,27007,26632,13365,27196,36644,16203,30191,21563
0610010K14Rik,1573,1241,1113,1087,1059,1106,1102,598,1120,1148
0610030E20Rik,1020,1363,911,929,859,1092,976,487,1125,939
0610040J01Rik,203,221,156,183,210,198,169,80,149,168
1110002E22Rik,15,75,10,26,16,13,16,7,16,11
1110004F10Rik,8552,8698,6128,5506,5557,5638,5911,3304,5688,5598
1110032F04Rik,255,335,184,188,185,193,230,109,236,176
1110038F14Rik,818,756,634,521,541,616,569,299,592,574
1110059E24Rik,1728,1456,1253,1052,1159,1092,1117,661,1075,987
1110059G10Rik,802,831,559,458,523,573,554,289,527,495
1110065P20Rik,1493,1541,1073,935,1133,1104,1110,615,988,1118
1190005I06Rik,294,243,237,189,228,205,260,122,208,194
1500009L16Rik,1879,1396,1133,1093,1246,1455,1568,753,1409,1303
1600012H06Rik,891,1129,810,691,680,791,799,389,802,782
1600014C10Rik,2689,1934,1708,1637,1728,1689,1898,907,1670,1655
1600014C23Rik,2,5,1,4,2,4,7,0,3,1
1600025M17Rik,12,12,9,8,10,11,17,5,22,11
1600029O15Rik,58,62,54,62,40,50,55,38,77,79
1700001F09Rik,1,0,0,2,0,2,3,0,4,0
1700001J03Rik,7,8,3,7,8,3,9,1,5,1
1700001J11Rik,0,0,0,0,0,0,0,0,0,0
1700001K19Rik,0,0,0,2,0,0,0,0,0,0
1700001O22Rik,17,20,10,14,19,12,14,8,3,11
1700003E16Rik,1206,961,895,1005,956,810,942,475,782,832
1700003F12Rik,47,34,22,38,33,34,25,7,38,36
1700003H04Rik,0,0,0,0,0,0,0,0,0,0
1700003N22Rik,0,1,0,0,0,0,0,0,0,0
1700006A11Rik,0,0,0,0,0,0,0,0,1,0
1700007E05Rik,1,1,1,0,0,0,0,0,0,0
1700008O03Rik,91,92,84,83,97,69,93,33,77,83
1700009N14Rik,0,0,0,0,0,1,0,0,0,0
1700010I14Rik,272,215,185,170,136,167,182,100,168,156
1700010N08Rik,0,0,0,0,0,0,0,0,0,0
1700011L22Rik,0,2,1,2,0,0,1,1,0,2
1700012A03Rik,0,0,0,0,0,1,0,0,0,0
1700012B07Rik,0,1,1,0,0,1,1,1,0,0
1700012B09Rik,128,71,87,97,111,119,118,53,85,89
1700013G24Rik,0,0,0,0,0,0,0,0,0,0
1700013H16Rik,0,1,0,1,0,1,1,0,0,1
1700014B07Rik,5,9,7,4,3,8,6,4,7,4
1700016H13Rik,8,8,12,4,10,4,7,8,5,9
1700017B05Rik,412,623,385,402,370,502,521,216,411,433
1700017N19Rik,0,1,0,0,1,1,2,2,2,0
1700018B08Rik,1,1,2,2,0,0,0,0,0,0
1700018F24Rik,0,0,0,0,0,0,0,0,0,0
1700019A02Rik,8,3,3,10,9,6,10,4,3,10
1700019D03Rik,253,272,182,199,184,178,226,110,184,185
1700019M22Rik,0,0,0,0,0,0,0,0,0,0
1700020A23Rik,0,1,1,0,1,0,1,0,0,0
1700020L13Rik,1,1,1,3,1,2,1,0,4,0
1700020L24Rik,9,5,3,6,2,6,6,4,6,3
1700020N01Rik,2,1,0,0,0,0,1,0,1,0
1700020N15Rik,1,1,0,0,0,0,0,0,1,0
1700022A21Rik,0,0,0,0,0,0,0,0,0,0
1700024B05Rik,0,2,1,0,2,0,0,0,0,0
1700024G13Rik,13,5,12,9,15,14,17,6,8,8
1700025B11Rik,1,0,1,0,1,1,0,2,0,0
1700025C18Rik,0,0,0,0,0,0,0,0,0,0
1700025G04Rik,4168,5013,3959,3751,3834,3951,4230,2057,4099,3793
1700028B04Rik,1,2,2,1,2,2,2,2,1,0
1700028J19Rik,39,64,42,48,44,44,55,19,49,54
1700028K03Rik,48,53,16,45,24,44,38,15,41,23
1700029F12Rik,1,0,0,0,0,3,2,0,1,2
1700029H14Rik,7,7,3,7,7,3,8,1,3,4
1700030C10Rik,5,3,3,1,7,3,5,1,5,3
1700030J22Rik,942,928,904,822,916,845,917,482,948,850
1700030K09Rik,709,709,602,578,553,557,621,292,609,528
1700031F05Rik,0,0,0,0,0,0,1,0,0,0
1700031L13Rik,0,0,0,0,0,0,0,0,0,0
1700031M16Rik,0,0,0,0,0,0,0,0,0,0
1700034E13Rik,0,0,0,0,2,1,0,0,0,0
