"direction","geneID","gene_count","rank","gene_description","treatgo_descriptions","logFC","P.Value","chr"
"Down","Vcp",39,1,"valosin containing protein","energy derivation by oxidation of organic compounds; cellular component disassembly; regulation of protein modification process; purine nucleotide metabolic process; macroautophagy; regulation of protein catabolic process; cellular respiration; ribose phosphate metabolic process; regulation of synapse structure or activity; Golgi vesicle transport; regulation of synapse organization; ribonucleotide metabolic process; nucleoside phosphate biosynthetic process; regulation of proteolysis; aerobic respiration; endosomal transport; response to endoplasmic reticulum stress; nucleoside triphosphate metabolic process; purine-containing compound biosynthetic process; purine nucleoside triphosphate metabolic process; nucleotide biosynthetic process; regulation of post-translational protein modification; regulation of proteolysis involved in protein catabolic process; regulation of protein modification by small protein conjugation or removal; regulation of proteasomal protein catabolic process; ribose phosphate biosynthetic process; spindle organization; ribonucleotide biosynthetic process; purine nucleotide biosynthetic process; oxidative phosphorylation; purine ribonucleotide biosynthetic process; vacuolar transport; microtubule cytoskeleton organization involved in mitosis; nucleoside triphosphate biosynthetic process; endoplasmic reticulum to Golgi vesicle-mediated transport; ribonucleoside triphosphate biosynthetic process; purine nucleoside triphosphate biosynthetic process; purine ribonucleoside triphosphate biosynthetic process; ATP biosynthetic process",-0.0367571998149003,0.2935,"4"
"Down","Akt1",37,2,"thymoma viral proto-oncogene 1","cilium organization; cilium assembly; establishment of protein localization to organelle; mitochondrion organization; energy derivation by oxidation of organic compounds; mitotic cell cycle phase transition; regulation of cell cycle phase transition; response to oxidative stress; regulation of protein modification process; regulation of protein catabolic process; cellular respiration; protein localization to cell periphery; regulation of synapse structure or activity; regulation of translation; Golgi vesicle transport; nucleocytoplasmic transport; nuclear transport; regulation of synapse organization; regulation of proteolysis; aerobic respiration; regulation of mitotic cell cycle phase transition; protein localization to nucleus; regulation of autophagy; intrinsic apoptotic signaling pathway; response to endoplasmic reticulum stress; establishment of protein localization to membrane; protein polyubiquitination; cytoplasmic translation; regulation of organelle assembly; regulation of post-translational protein modification; regulation of proteolysis involved in protein catabolic process; regulation of protein modification by small protein conjugation or removal; regulation of proteasomal protein catabolic process; regulation of protein ubiquitination; tRNA metabolic process; endoplasmic reticulum to Golgi vesicle-mediated transport; establishment of protein localization to mitochondrion",-0.0109965181847205,0.8185,"12"
"Down","Atp5if1",32,3,"ATP synthase inhibitory factor subunit 1","establishment of protein localization to organelle; mitochondrion organization; energy derivation by oxidation of organic compounds; purine nucleotide metabolic process; macroautophagy; cellular respiration; ribose phosphate metabolic process; ribonucleotide metabolic process; nucleoside phosphate biosynthetic process; regulation of proteolysis; aerobic respiration; regulation of autophagy; nucleoside triphosphate metabolic process; protein targeting; purine-containing compound biosynthetic process; purine nucleoside triphosphate metabolic process; nucleotide biosynthetic process; regulation of proteolysis involved in protein catabolic process; ribose phosphate biosynthetic process; ribonucleotide biosynthetic process; purine nucleotide biosynthetic process; oxidative phosphorylation; purine ribonucleotide biosynthetic process; nucleoside triphosphate biosynthetic process; ribonucleoside triphosphate biosynthetic process; purine nucleoside triphosphate biosynthetic process; purine ribonucleoside triphosphate biosynthetic process; mitochondrial membrane organization; establishment of protein localization to mitochondrion; ATP biosynthetic process; proton motive force-driven ATP synthesis; proton motive force-driven mitochondrial ATP synthesis",-0.0660314617423756,0,"4"
"Down","Ndufa13",30,4,"NADH:ubiquinone oxidoreductase subunit A13","establishment of protein localization to organelle; mitochondrion organization; energy derivation by oxidation of organic compounds; purine nucleotide metabolic process; regulation of protein catabolic process; cellular respiration; ribose phosphate metabolic process; ribonucleotide metabolic process; nucleoside phosphate biosynthetic process; aerobic respiration; establishment of protein localization to membrane; nucleoside triphosphate metabolic process; purine-containing compound biosynthetic process; purine nucleoside triphosphate metabolic process; nucleotide biosynthetic process; ribose phosphate biosynthetic process; ribonucleotide biosynthetic process; purine nucleotide biosynthetic process; oxidative phosphorylation; purine ribonucleotide biosynthetic process; nucleoside triphosphate biosynthetic process; ribonucleoside triphosphate biosynthetic process; purine nucleoside triphosphate biosynthetic process; purine ribonucleoside triphosphate biosynthetic process; mitochondrial membrane organization; establishment of protein localization to mitochondrion; ATP biosynthetic process; mitochondrial respiratory chain complex assembly; proton motive force-driven ATP synthesis; proton motive force-driven mitochondrial ATP synthesis",-0.117085207733441,0,"8"
"Down","mt-Nd1",30,5,"mitochondrially encoded NADH dehydrogenase 1","mitochondrion organization; energy derivation by oxidation of organic compounds; response to oxidative stress; purine nucleotide metabolic process; cellular respiration; ribose phosphate metabolic process; ribonucleotide metabolic process; nucleoside phosphate biosynthetic process; aerobic respiration; nucleoside triphosphate metabolic process; purine-containing compound biosynthetic process; purine nucleoside triphosphate metabolic process; nucleotide biosynthetic process; ribose phosphate biosynthetic process; ribonucleotide biosynthetic process; purine nucleotide biosynthetic process; oxidative phosphorylation; purine ribonucleotide biosynthetic process; nucleoside triphosphate biosynthetic process; ribonucleoside triphosphate biosynthetic process; purine nucleoside triphosphate biosynthetic process; purine ribonucleoside triphosphate biosynthetic process; electron transport chain; ATP biosynthetic process; respiratory electron transport chain; mitochondrial respiratory chain complex assembly; proton motive force-driven ATP synthesis; ATP synthesis coupled electron transport; mitochondrial ATP synthesis coupled electron transport; proton motive force-driven mitochondrial ATP synthesis",-0.060821773347854,0.2715,"MT"
"Down","Map2k1",29,6,"mitogen-activated protein kinase kinase 1","response to oxidative stress; purine nucleotide metabolic process; establishment of organelle localization; protein localization to cell periphery; ribose phosphate metabolic process; ribonucleotide metabolic process; nucleoside phosphate biosynthetic process; endosomal transport; regulation of autophagy; intrinsic apoptotic signaling pathway; nucleoside triphosphate metabolic process; microtubule-based transport; purine-containing compound biosynthetic process; purine nucleoside triphosphate metabolic process; nucleotide biosynthetic process; vesicle localization; cytoskeleton-dependent intracellular transport; ribose phosphate biosynthetic process; establishment of vesicle localization; transport along microtubule; ribonucleotide biosynthetic process; purine nucleotide biosynthetic process; regulation of postsynaptic membrane neurotransmitter receptor levels; purine ribonucleotide biosynthetic process; nucleoside triphosphate biosynthetic process; ribonucleoside triphosphate biosynthetic process; purine nucleoside triphosphate biosynthetic process; purine ribonucleoside triphosphate biosynthetic process; ATP biosynthetic process",-0.112822165140329,0.152,"9"
"Down","Ndufc2",29,7,"NADH:ubiquinone oxidoreductase subunit C2","mitochondrion organization; energy derivation by oxidation of organic compounds; purine nucleotide metabolic process; cellular respiration; ribose phosphate metabolic process; ribonucleotide metabolic process; nucleoside phosphate biosynthetic process; aerobic respiration; nucleoside triphosphate metabolic process; purine-containing compound biosynthetic process; purine nucleoside triphosphate metabolic process; nucleotide biosynthetic process; ribose phosphate biosynthetic process; ribonucleotide biosynthetic process; purine nucleotide biosynthetic process; oxidative phosphorylation; purine ribonucleotide biosynthetic process; nucleoside triphosphate biosynthetic process; ribonucleoside triphosphate biosynthetic process; purine nucleoside triphosphate biosynthetic process; purine ribonucleoside triphosphate biosynthetic process; electron transport chain; ATP biosynthetic process; respiratory electron transport chain; mitochondrial respiratory chain complex assembly; proton motive force-driven ATP synthesis; ATP synthesis coupled electron transport; mitochondrial ATP synthesis coupled electron transport; proton motive force-driven mitochondrial ATP synthesis",-0.127877851913018,0.0865,"7"
"Down","Ndufs1",29,8,"NADH:ubiquinone oxidoreductase core subunit S1","mitochondrion organization; energy derivation by oxidation of organic compounds; purine nucleotide metabolic process; cellular respiration; ribose phosphate metabolic process; ribonucleotide metabolic process; nucleoside phosphate biosynthetic process; aerobic respiration; nucleoside triphosphate metabolic process; purine-containing compound biosynthetic process; purine nucleoside triphosphate metabolic process; nucleotide biosynthetic process; ribose phosphate biosynthetic process; ribonucleotide biosynthetic process; purine nucleotide biosynthetic process; oxidative phosphorylation; purine ribonucleotide biosynthetic process; nucleoside triphosphate biosynthetic process; ribonucleoside triphosphate biosynthetic process; purine nucleoside triphosphate biosynthetic process; purine ribonucleoside triphosphate biosynthetic process; electron transport chain; ATP biosynthetic process; respiratory electron transport chain; mitochondrial respiratory chain complex assembly; proton motive force-driven ATP synthesis; ATP synthesis coupled electron transport; mitochondrial ATP synthesis coupled electron transport; proton motive force-driven mitochondrial ATP synthesis",-0.0430864666190161,0.229,"1"
"Down","Ndufs2",29,9,"NADH:ubiquinone oxidoreductase core subunit S2","mitochondrion organization; energy derivation by oxidation of organic compounds; purine nucleotide metabolic process; cellular respiration; ribose phosphate metabolic process; ribonucleotide metabolic process; nucleoside phosphate biosynthetic process; aerobic respiration; nucleoside triphosphate metabolic process; purine-containing compound biosynthetic process; purine nucleoside triphosphate metabolic process; nucleotide biosynthetic process; ribose phosphate biosynthetic process; ribonucleotide biosynthetic process; purine nucleotide biosynthetic process; oxidative phosphorylation; purine ribonucleotide biosynthetic process; nucleoside triphosphate biosynthetic process; ribonucleoside triphosphate biosynthetic process; purine nucleoside triphosphate biosynthetic process; purine ribonucleoside triphosphate biosynthetic process; electron transport chain; ATP biosynthetic process; respiratory electron transport chain; mitochondrial respiratory chain complex assembly; proton motive force-driven ATP synthesis; ATP synthesis coupled electron transport; mitochondrial ATP synthesis coupled electron transport; proton motive force-driven mitochondrial ATP synthesis",-0.00152646396616785,0.911,"1"
"Down","Ndufs3",29,10,"NADH:ubiquinone oxidoreductase core subunit S3","mitochondrion organization; energy derivation by oxidation of organic compounds; purine nucleotide metabolic process; cellular respiration; ribose phosphate metabolic process; ribonucleotide metabolic process; nucleoside phosphate biosynthetic process; aerobic respiration; nucleoside triphosphate metabolic process; purine-containing compound biosynthetic process; purine nucleoside triphosphate metabolic process; nucleotide biosynthetic process; ribose phosphate biosynthetic process; ribonucleotide biosynthetic process; purine nucleotide biosynthetic process; oxidative phosphorylation; purine ribonucleotide biosynthetic process; nucleoside triphosphate biosynthetic process; ribonucleoside triphosphate biosynthetic process; purine nucleoside triphosphate biosynthetic process; purine ribonucleoside triphosphate biosynthetic process; electron transport chain; ATP biosynthetic process; respiratory electron transport chain; mitochondrial respiratory chain complex assembly; proton motive force-driven ATP synthesis; ATP synthesis coupled electron transport; mitochondrial ATP synthesis coupled electron transport; proton motive force-driven mitochondrial ATP synthesis",-0.0272818091788647,0.566,"2"
